description;icao;iata;latitude_deg;longitude_deg
Samaná El Catey International Airport;MDCY;AZS;192.670.001.984;-697.419.967.651
Constanza - Expedición 14 de Junio National Airport;MDCZ;COZ;18.907.499.313.354;-70.721.900.939.941
Herrera Airport;MDHE;HEX;184.696.998.596;-699.693.984.985
La Isabela International Airport;MDJB;JBQ;18.572.500.228.881.800;-6.998.560.333.251.950
Casa De Campo International Airport;MDLR;LRM;18.450.700.759.887.600;-6.891.179.656.982.420
Punta Cana International Airport;MDPC;PUJ;18.567.399.978.599.900;-6.836.340.332.030.000
Samana El Portillo Airport;MDPO;EPS;193.214.150.435;-694.959.121.943
Gregorio Luperon International Airport;MDPP;POP;1.975.790.023.803.710;-7.056.999.969.482.420
Medfra Airport;MDR;MDR;631.060.198.183;-154.719.429.016
Sabana de Mar Airport;MDSB;SNX;19.061.899.185.180.600;-6.938.520.050.048.820
Las Américas International Airport;MDSD;SDQ;1.842.970.085.144;-69.668.899.536.133
San Juan Airport;MDSJ;SJM;18.833.332.061.799.900;-712.333.297.729
Cibao International Airport;MDST;STI;19.406.099.319.458.000;-7.060.469.818.115.230
Médouneu Airport;MDV;MDV;10.085;107.552
Loring International Airport;ME16;LIZ;469.504.013.062;-6.788.590.240.479.990
Melfi Airport;MEF;MEF;11.060.192;17.944.495
Ambohibary Airport;MG-0001;OHB;-189.175;482.181.944.444
Doany Airport;MG-DOA;DOA;-143.681.001.663.208;49.510.799.407.958.900
Coban Airport;MGCB;CBV;15.468.999.862.670.800;-9.040.670.013.427.730
Carmelita Airport;MGCR;CMM;17.461.200.714.111.300;-9.005.370.330.810.540
Coatepeque Airport;MGCT;CTF;14.694.199.562.072.700;-9.188.249.969.482.420
Margarima Airport;MGG;MGG;-5.979;1.433.595
La Aurora Airport;MGGT;GUA;1.458.329.963.684.080;-9.052.749.633.789.060
Huehuetenango Airport;MGHT;HUG;15.327.400.207.519.500;-9.146.240.234.375
Matagorda Island Air Force Base;MGI;MGI;28.323;-96.464
Melchor de Mencos Airport;MGMM;MCR;170.686.092.377;-891.522.216.797
Manga Airport;MGP;MGP;-4.147;1.530.186
Puerto Barrios Airport;MGPB;PBR;15.730.899.810.791.000;-8.858.380.126.953.120
Poptún Airport;MGPP;PON;16.325.799.942.017;-8.941.609.954.834
Santa Cruz del Quiche Airport;MGQC;AQB;15.012.200.355.529.700;-9.115.059.661.865.230
Quezaltenango Airport;MGQZ;AAZ;148.656;-91.501.999
Rubelsanto Airport;MGRB;RUV;15.991.999.626.159.600;-9.044.529.724.121.090
Las Vegas Airport;MGRD;LCF;15.668.363;-88.961.763
Retalhuleu Airport;MGRT;RER;14.520.999.908.447.200;-9.169.730.377.197.260
San José Airport;MGSJ;GSJ;13.936.200.141.899.900;-9.083.580.017.090.000
Mundo Maya International Airport;MGTK;FRS;16.913.799.285.899.900;-8.986.640.167.239.990
Ailuk Airport;MH-AIM;AIM;1.021.679.973.602.290;16.998.300.170.898.400
Aur Island Airport;MH-AUL;AUL;8.145.279.884.338.370;17.117.300.415.039.000
Enyu Airfield;MH-BII;BII;11.522.500.038.146.900;16.556.500.244.140.600
Ebadon Airport;MH-EBN;EBN;9.330.559.730.529.780;16.682.000.732.421.800
Jabot Airport;MH-JAT;JAT;7.749.774.755.610.000;168.977.837.563
Jeh Airport;MH-JEJ;JEJ;7.565.350.055.690.000;168.962.005.615
Kaben Airport;MH-KBT;KBT;890.056.037.902.832;170.843.994.140.625
Likiep Airport;MH-LIK;LIK;982.316;169.307.999
Lae Island Airport;MH-LML;LML;8.921.110.153.198.240;16.626.499.938.964.800
Maloelap Island Airport;MH-MAV;MAV;870.444.011.688;171.229.995.728
Mejit Atoll Airport;MH-MJB;MJB;10.283.302;170.869
Majkin Airport;MH-MJE;MJE;776.291;16.826.576
Namorik Atoll Airport;MH-NDK;NDK;5.631.669.998.168.940;168.125
Rongelap Island Airport;MH-RNP;RNP;1.115.719.985.961.910;16.688.699.340.820.300
Tinak Airport;MH-TIC;TIC;713.332.986.831.665;17.191.700.744.628.900
Jaluit Airport;MH-UIT;UIT;5.909.239.768.981.930;16.963.699.340.820.300
Woja Airport;MH-WJA;WJA;745.083.333.333;168.55
Wotje Atoll Airport;MH-WTE;WTE;9.458.333;170.238.611
Wotho Island Airport;MH-WTO;WTO;10.173.299.789.428.700;1.660.030.059.814.450
Ahuas Airport;MHAH;AHS;154.722;-84.352.203
Brus Laguna Airport;MHBL;BHG;157.631;-84.543.602
Catacamas Airport;MHCA;CAA;14.916.999.816.894.500;-859.000.015.258.789
Colon Airport;MHCL;MRJ;14.161.944;-88.034.447
Carta Airport;MHCR;LUI;15.033.192;-86.692.334
Coyoles Airport;MHCS;CYL;15.445.556;-86.675.278
Cauquira Airport;MHCU;CDD;15.316.667;-83.591.667
El Arrayán Airport;MHEA;OAN;15.505.556;-86.574.722
Celaque Airport;MHGS;GAC;14.573.492;-88.595.801
Iriona Airport;MHIR;IRN;15.939.167.022.700.000;-8.513.722.229
Jicalapa Airport;MHJI;GUO;15.006.111;-86.049.164
Jutigalpa airport;MHJU;JUT;14.652.600.288.391.100;-8.622.029.876.708.980
Goloson International Airport;MHLC;LCE;157.425;-86.852.997
La Esperanza Airport;MHLE;LEZ;14.291.111;-88.175.003
Ramón Villeda Morales International Airport;MHLM;SAP;1.545.259.952.545.160;-8.792.359.924.316.400
Hooker County Airport;MHN;MHN;420.421.538.954;-101.059.112.549
La Laguna Airport;MHNJ;GJA;164.454;-85.906.601
Palacios Airport;MHPC;PCH;15.955;-84.941.391
Puerto Lempira Airport;MHPL;PEU;152.622;-83.781.197
Juan Manuel Galvez International Airport;MHRO;RTB;16.316.799;-86.523.003
Santa Rosa de Copán Airport;MHRS;SDH;14.777.889;-88.775.021
Copán Ruinas Airport;MHRU;RUY;14.914.885;-89.007.837
Coronel Enrique Soto Cano Air Base;MHSC;XPL;143.824;-87.621.201
Tela Airport;MHTE;TEA;157.759;-874.758
Toncontín International Airport;MHTG;TGU;1.406.089.973.449.700;-8.721.720.123.291.010
Trujillo Airport;MHTJ;TJI;159.268;-85.938.202
Sulaco Airport;MHUL;SCD;1.490.719.985.961.910;-8.726.339.721.679.680
Utila Airport;MHUT;UII;161.131;-86.880.302
Morehead Airport;MHY;MHY;-871.411.111.111;141.644.444.444
Yoro Airport;MHYR;ORO;151.275;-87.135
Mainoru Airstrip;MIZ;MIZ;-140.533;1.340.942
Moki Airport;MJJ;MJJ;-57.181;1.452.404
Maganja da Costa Airport;MJS;MJS;-173.087;37.5
Boscobel Aerodrome;MKBS;OCJ;18.404.199.600.219.700;-7.696.900.177.001.950
Norman Manley International Airport;MKJP;KIN;17.935.699.462.890.600;-767.874.984.741.211
Sangster International Airport;MKJS;MBJ;18.503.700.256.347.600;-7.791.339.874.267.570
Ken Jones Airport;MKKJ;POT;181.987.991.333;-7.653.450.012.210.000
Malekolon Airport;MKN;MKN;-402.343.055.556;153.657.277.778
Negril Airport;MKNG;NEG;1.834.280.014.038.080;-7.833.209.991.455.070
Tinson Pen Airport;MKTP;KTP;1.798.859.977.722.160;-7.682.379.913.330.070
Mili Island Airport;MLIP;MIJ;608.333;171.733.002
Malalaua Airport;MLQ;MLQ;-807.138.888.889;146.155.472.222
Hinthada Airport;MM-0002;HEB;17.633.329.391.500.000;954.666.976.929
Cupul Airport;MM72;TZM;21.155.716;-88.172.918
General Juan N Alvarez International Airport;MMAA;ACA;16.757.099.151.611.300;-9.975.399.780.273.430
Del Norte International Airport;MMAN;NTR;25.865.601;-100.237
Jesús Terán Paredo International Airport;MMAS;AGU;21.705.601;-102.318.001
Bahías de Huatulco International Airport;MMBT;HUX;15.775.300.025.939.900;-9.626.260.375.976.560
Cananea Airport;MMCA;CNA;310.661.501.549;-110.097.877.979
General Mariano Matamoros Airport;MMCB;CVJ;18.834.800.720.214.800;-9.926.129.913.330.070
Ciudad Acuña New International Airport;MMCC;ACN;2.933.289.909.362.790;-1.010.989.990.234.370
Ciudad del Carmen International Airport;MMCE;CME;1.865.369.987.487.790;-9.179.900.360.107.420
Nuevo Casas Grandes Airport;MMCG;NCG;3.039.739.990.234.370;-107.875
Bachigualato Federal International Airport;MMCL;CUL;247.644.996.643;-107.474.998.474
Chetumal International Airport;MMCM;CTM;1.850.469.970.703.120;-8.832.679.748.535.150
Ciudad Obregón International Airport;MMCN;CEN;2.739.259.910.583.490;-10.983.300.018.310.500
Comitan Airport;MMCO;CJT;16.176.700.592.041.000;-9.205.059.814.453.120
Ingeniero Alberto Acuña Ongay International Airport;MMCP;CPE;19.816.799.163.800.000;-905.002.975.464
Abraham González International Airport;MMCS;CJS;3.163.610.076.904.290;-10.642.900.085.449.200
Chichen Itza International Airport;MMCT;CZA;206.413.002.014;-884.461.975.098
General Roberto Fierro Villalobos International Airport;MMCU;CUU;28.702.899.932.900.000;-105.964.996.338
General Pedro Jose Mendez International Airport;MMCV;CVM;237.033.004.761;-989.564.971.924
Captain Rogelio Castillo National Airport;MMCY;CYW;20.546;-100.887.001
Cozumel International Airport;MMCZ;CZM;2.052.239.990.234.370;-8.692.559.814.453.120
Ciudad Constitución Airport;MMDA;CUA;25.053.800.582.886;-11.161.499.786.377
Ciudad Mante National Airport;MMDM;MMC;2.274.317.741.394.040;-9.901.737.213.134.760
General Guadalupe Victoria International Airport;MMDO;DGO;241.242.008.209;-104.527.999.878
Amado Nervo National Airport;MMEP;TPQ;2.141.950.035.095.210;-10.484.300.231.933.500
Ensenada Airport;MMES;ESE;31.795.299.530.029.200;-11.660.299.682.617.100
Don Miguel Hidalgo Y Costilla International Airport;MMGL;GDL;20.521.799.087.524.400;-10.331.099.700.927.700
General José María Yáñez International Airport;MMGM;GYM;279.689.998.626.709;-11.092.500.305.175.700
Guerrero Negro Airport;MMGR;GUB;28.026.100.158.691.400;-11.402.400.207.519.500
Tehuacan Airport;MMHC;TCN;1.849.720.001.220.700;-974.198.989.868.164
General Ignacio P. Garcia International Airport;MMHO;HMO;29.095.899.581.900.000;-111.047.996.521
Licenciado Miguel de la Madrid Airport;MMIA;CLQ;192.770.004.272;-103.577.003.479
Isla Mujeres Airport;MMIM;ISJ;212.450.008.392.334;-8.673.999.786.376.950
Plan De Guadalupe International Airport;MMIO;SLW;2.554.949.951.171.870;-10.092.900.085.449.200
Ixtepec Airport;MMIT;IZT;1.644.930.076.599.120;-9.509.369.659.423.820
El Lencero Airport;MMJA;JAL;194.750.995.636;-967.975.006.104
Atizapan De Zaragoza Airport;MMJC;AZP;195.748.004.913;-9.928.880.310.059.990
Lázaro Cárdenas Airport;MMLC;LZC;180.016.994.476;-102.221.000.671
Valle del Fuerte International Airport;MMLM;LMM;256.851.997.375;-109.081.001.282
Del Bajío International Airport;MMLO;BJX;20.993.499.755.900.000;-101.481.002.808
Manuel Márquez de León International Airport;MMLP;LAP;24.072.700.500.499.900;-110.361.999.512
Loreto International Airport;MMLT;LTO;25.989.200.592.041.000;-1.113.479.995.727.530
General Servando Canales International Airport;MMMA;MAM;257.698.993.683;-975.252.990.723
Licenciado Manuel Crescencio Rejon Int Airport;MMMD;MID;20.937.000.274.699.900;-89.657.699.585
Mulege Airport;MMMG;MUG;26.897.310.256.958.000;-11.195.755.004.882.800
General Rodolfo Sánchez Taboada International Airport;MMML;MXL;326.305.999.756;-115.241.996.765
General Francisco J. Mujica International Airport;MMMM;MLM;19.849.899.292;-101.025.001.526
Minatitlán/Coatzacoalcos National Airport;MMMT;MTT;181.033.992.767;-9.458.070.373.540.000
Monclova International Airport;MMMV;LOV;26.955.699.920.654.200;-10.147.000.122.070.300
Licenciado Benito Juarez International Airport;MMMX;MEX;194.363;-99.072.098
General Mariano Escobedo International Airport;MMMY;MTY;257.784.996.033;-100.107.002.258
General Rafael Buelna International Airport;MMMZ;MZT;231.613.998.413;-10.626.599.884
Nogales International Airport;MMNG;NOG;3.122.610.092.163.080;-11.097.599.792.480.400
Quetzalcóatl International Airport;MMNL;NLD;274.438.991.547;-995.705.032.349
Xoxocotlán International Airport;MMOX;OAX;169.999.008.179;-96.726.600.647
El Tajín National Airport;MMPA;PAZ;206.026.992.798;-9.746.080.017.090.000
Hermanos Serdán International Airport;MMPB;PBC;191.581.001.282;-983.713.989.258
Piedras Negras International Airport;MMPG;PDS;28.627.399.444.580.000;-10.053.500.366.210.900
Punta Colorada Airport;MMPL;PCO;23.575.011;-109.535.826
Licenciado y General Ignacio Lopez Rayon Airport;MMPN;UPN;19.396.699.905.395.500;-10.203.900.146.484.300
Palenque International Airport;MMPQ;PQM;17.533.153;-92.015.484
Licenciado Gustavo Díaz Ordaz International Airport;MMPR;PVR;20.680.099.487.304.600;-10.525.399.780.273.400
Puerto Escondido International Airport;MMPS;PXM;158.768.997.192;-9.708.910.369.870.000
Querétaro Intercontinental Airport;MMQT;QRO;206.173.000.336;-100.185.997.009
General Lucio Blanco International Airport;MMRX;REX;26.008.899.688.699.900;-982.285.003.662
San Cristobal de las Casas Airport;MMSC;SZT;16.690.299.987.793;-92.530.097.961.426
Los Cabos International Airport;MMSD;SJD;2.315.180.015.563.960;-10.972.100.067.138.600
San Felipe International Airport;MMSF;SFH;30.930.200.576.782;-11.480.899.810.791
Santa Lucia Air Force Base;MMSM;NLU;19.755.300.521.900.000;-9.901.640.319.820.000
Ponciano Arriaga International Airport;MMSP;SLP;22.254.299.163.800.000;-100.930.999.756
Francisco Sarabia International Airport;MMTC;TRC;25.568.300.247.199.900;-103.411.003.113
Angel Albino Corzo International Airport;MMTG;TGZ;165.636.005.402;-9.302.249.908.450.000
General Abelardo L. Rodríguez International Airport;MMTJ;TIJ;32.541.099.548.339.800;-11.697.000.122.070.300
General Francisco Javier Mina International Airport;MMTM;TAM;222.964.000.702;-978.658.981.323
Tamuin Airport;MMTN;TSL;220.382.995.605;-9.880.650.329.590.000
Licenciado Adolfo Lopez Mateos International Airport;MMTO;TLC;193.370.990.753;-9.956.600.189.210.000
Tapachula International Airport;MMTP;TAP;147.943.000.793;-923.700.027.466
Cancún International Airport;MMUN;CUN;21.036.500.930.800.000;-868.770.980.835
Mal Airport;MMV;MMV;-139.444.444.444;144.171.111.111
Carlos Rovirosa Pérez International Airport;MMVA;VSA;17.996.999.740.600.500;-9.281.739.807.128.900
General Heriberto Jara International Airport;MMVR;VER;191.459.007.263;-961.873.016.357
General Leobardo C. Ruiz International Airport;MMZC;ZCL;228.971.004.486;-10.268.699.646
Ixtapa Zihuatanejo International Airport;MMZH;ZIH;17.601.600.647;-101.460.998.535
Zamora Airport;MMZM;ZMM;20.045.000.076.293.900;-1.022.760.009.765.620
Playa De Oro International Airport;MMZO;ZLO;19.144.800.186.199.900;-104.558.998.108
Mandalgobi Airport;MN-MXW;MXW;457.380.981.445;106.268.997.192
Ölgii Airport;MN-ULG;ULG;4.896.699.905.395.500;8.996.700.286.865.230
Bluefields Airport;MNBL;BEF;11.991.000.175.476.000;-8.377.410.125.732.420
San Pedro Airport;MNBZ;BZA;13.949.999.809.265.100;-845.999.984.741.211
Costa Esmeralda Airport;MNCE;ECI;11.427.542;-86.033.361
Corn Island;MNCI;RNI;121.628.999.710.083;-8.306.379.699.707.030
Augusto C. Sandino (Managua) International Airport;MNMG;MGA;12.141.500.473.022.400;-8.616.819.763.183.590
Nueva Guinea Airport;MNNG;NVG;11.666.666.984.558.100;-8.444.999.694.824.210
Maron Island Airport;MNP;MNP;-15.504;1.450.168
Puerto Cabezas Airport;MNPC;PUZ;14.047.200.202.941.800;-8.338.670.349.121.090
Rosita Airport;MNRT;RFS;13.889.699.935.913.000;-8.440.889.739.990.230
San Carlos;MNSC;NCR;11.133.399.963.378.900;-847.699.966.430.664
Siuna;MNSI;SIU;13.727.222.442.626.900;-8.477.777.862.548.820
Waspam Airport;MNWP;WSP;147.391.996.383.667;-8.396.939.849.853.510
Capt Justiniano Montenegro Airport;MP00;PDM;75.568.799.972.534;-80.023.300.170.898
Bocas Del Toro International Airport;MPBO;BOC;9.340.849.876.403.800;-8.225.080.108.642.570
Alonso Valderrama Airport;MPCE;CTD;7.987.840.175.628.660;-8.040.969.848.632.810
Cap Manuel Niño International Airport;MPCH;CHX;9.458.640.098.571.770;-8.251.679.992.675.780
Enrique Malek International Airport;MPDA;DAV;8.390.999.794.006.340;-8.243.499.755.859.370
Enrique Adolfo Jimenez Airport;MPEJ;ONX;9.356.639.862.060.540;-7.986.740.112.304.680
Makini Airport;MPG;MPG;-6.532.222.222.220.000;147.651.166.667
Panama Pacific International Airport;MPHO;BLB;891.479;-79.599.602
Mamitupo Airport;MPI;MPI;91.851;-779.841
Jaqué Airport;MPJE;JQE;751.777.982.711.792;-781.572.036.743.164
Captain Ramon Xatruch Airport;MPLP;PLP;8.406.669.616.699.210;-781.417.007.446.289
Marcos A. Gelabert International Airport;MPMG;PAC;8.973.340.034.484.860;-7.955.560.302.734.370
Puerto Obaldia Airport;MPOA;PUE;8.667;-77.418
Scarlett Martinez International Airport;MPRH;RIH;8.375.880.241.394;-80.127.899.169.922
Ruben Cantu Airport;MPSA;SYP;8.085.599.899.291.990;-8.094.529.724.121.090
Tocumen International Airport;MPTO;PTY;90.713.596.344;-793.834.991.455
Mapua(Mabua) Airport;MPU;MPU;-281.138.888.889;151.991.111.111
El Porvenir Airport;MPVR;PVE;9.558;-78.947
San Blas Airport;MPWN;NBL;9.449.600.219.726.560;-7.897.949.981.689.450
Miyanmin Airport;MPX;MPX;-4.903.055.555.560.000;141.620.833.333
Malam Airport;MQO;MQO;-870.916.666.667;142.649.722.222
Arenal Airport;MRAN;FON;10.477.999.687.194.800;-846.344.985.961.914
Aerotortuguero Airport;MRAO;TTQ;10.42;-836.095
Buenos Aires Airport;MRBA;BAI;9.163.949;-83.330.171
Barra del Colorado Airport;MRBC;BCL;10.768.699.645.996.000;-8.358.560.180.664.060
Coto 47 Airport;MRCC;OTR;860.155.963.897.705;-8.296.859.741.210.930
Chacarita Airport;MRCH;JAP;998.141.002.655;-847.726.974.487
Playa Samara/Carrillo Airport;MRCR;PLD;98.705.101.013.184;-85.481.399.536.133
Drake Bay Airport;MRDK;DRK;871.889.019.012;-836.417.007.446
Flamingo Airport;MRFL;FMG;10.418.600.082.397.400;-8.578.269.958.496.090
Golfito Airport;MRGF;GLF;8.654.009.819.030.760;-8.318.219.757.080.070
Guapiles Airport;MRGP;GPL;102.172.002.792;-8.379.699.707.030.000
Islita Airport;MRIA;PBP;9.856.109.619.140.620;-8.537.079.620.361.320
Daniel Oduber Quiros International Airport;MRLB;LIR;10.593.299.865.722.600;-8.554.440.307.617.180
Los Chiles Airport;MRLC;LSL;11.035.300.254.821.700;-8.470.610.046.386.710
Limon International Airport;MRLM;LIO;995.796.012.878.418;-8.302.200.317.382.810
Mojica Airport;MRMJ;CSC;104.307.003.021;-8.517.459.869.380.000
Guanacaste Airport;MRNC;NCT;10.139.399.528.503.400;-8.544.580.078.125
Nosara Airport;MRNS;NOB;9.976.490.020.750.000;-8.565.299.987.790.000
Juan Santamaria International Airport;MROC;SJO;9.993.860.244.750.970;-8.420.880.126.953.120
Puerto Jimenez Airport;MRPJ;PJM;8.533.329.963.684.080;-8.330.000.305.175.780
Palmar Sur Airport;MRPM;PMZ;8.951.029.777.526.850;-8.346.859.741.210.930
Tobias Bolanos International Airport;MRPV;SYQ;9.957.050.323.486.320;-8.413.980.102.539.060
Quepos Managua Airport;MRQP;XQP;9.443.160.057.067.870;-8.412.979.888.916.010
Rio Frio / Progreso Airport;MRRF;RFR;10.327.400.207.519.500;-8.388.760.375.976.560
Playa Samara Airport;MRSR;PLD;10.25;-8.541.699.981.689.450
San Vito De Java Airport;MRSV;TOO;8.826.109.886.169.430;-8.295.890.045.166.010
Tamarindo Airport;MRTM;TNO;10.313.500.404.358;-85.815.498.352.051
Tambor Airport;MRTR;TMU;9.738.519.668.579.100;-8.501.380.157.470.700
Upala Airport;MRUP;UPL;108.922;-85.016.197
Marigot Seaplane Base;MSB;MSB;180.696;-63.087
Monseñor Óscar Arnulfo Romero International Airport;MSLP;SAL;134.409;-89.055.702
Les Cayes Airport;MTCA;CYA;18.271.099.090.576.100;-7.378.829.956.054.680
Cap Haitien International Airport;MTCH;CAP;19.732.999.801.635.700;-721.947.021.484.375
Metro Field;MTF;MTX;6.480.680.084.229.990;-147.761.993.408
Jacmel Airport;MTJA;JAK;18.241.100.311.279.200;-7.251.850.128.173.820
Jérémie Airport;MTJE;JEE;1.866.309.928.894.040;-7.417.030.334.472.650
Toussaint Louverture International Airport;MTPP;PAP;18.579.999.923.706.000;-722.925.033.569.336
Port-de-Paix Airport;MTPX;PAX;199.335.994.720.459;-7.284.860.229.492.180
Montepuez Airport;MTU;MTU;-13.121.899.604.797.300;39.052.799.224.853.500
Gustavo Rizo Airport;MUBA;BCA;20.365.299.224.853.500;-745.062.026.977.539
Las Brujas Airport;MUBR;BWW;22.621.299.743.699.900;-791.472.015.381
Carlos Manuel de Cespedes Airport;MUBY;BYM;20.396.400.451.660.100;-7.662.139.892.578.120
Maximo Gomez Airport;MUCA;AVI;22.027.099.609.375;-7.878.959.655.761.710
Jardines Del Rey Airport;MUCC;CCC;22.461.000.442.499.900;-7.832.839.965.820.000
Jaime Gonzalez Airport;MUCF;CFG;22.149.999.618.530.200;-8.041.419.982.910.150
Vilo Acuña International Airport;MUCL;CYO;216.165.008.545;-815.459.976.196
Ignacio Agramonte International Airport;MUCM;CMW;21.420.299.530.029.200;-7.784.750.366.210.930
Colón Airport;MUCO;QCO;227.110.996.246;-8.092.279.815.670.000
Antonio Maceo International Airport;MUCU;SCU;1.996.980.094.909.660;-7.583.540.344.238.280
Leeward Point Field;MUGM;NBW;19.906.499.862.671;-75.207.099.914.551
Mariana Grajales Airport;MUGT;GAO;2.008.530.044.555.660;-751.583.023.071.289
José Martí International Airport;MUHA;HAV;22.989.200.592.041.000;-8.240.910.339.355.460
Frank Pais International Airport;MUHG;HOG;20.785.600.662.231.400;-7.631.510.162.353.510
Kawama Airport;MUKW;VRO;231.240.005.493;-813.015.975.952
La Coloma Airport;MULM;LCL;2.233.609.962.463.370;-8.364.189.910.888.670
Punta de Maisi Airport;MUMA;UMA;20.250.600.814.800.000;-741.504.974.365
Mayajigua Airport;MUMJ;MJG;2.223.080.062.866.210;-7.906.220.245.361.320
Orestes Acosta Airport;MUMO;MOA;20.653.900.146.484.300;-7.492.220.306.396.480
Sierra Maestra Airport;MUMZ;MZO;2.028.809.928.894.040;-7.708.920.288.085.930
San Nicolas De Bari Airport;MUNB;QSN;22.756.099.700.927.700;-819.208.984.375
Nicaro Airport;MUNC;ICR;20.688.600.540.161.100;-7.553.150.177.001.950
Rafael Cabrera Airport;MUNG;GER;21.834.699.630.737.300;-8.278.379.821.777.340
Playa Baracoa Airport;MUPB;UPB;23.032.800.674.399.900;-825.793.991.089
Pinar Del Rio Airport;MUPR;QPD;2.242.140.007.019.040;-8.367.839.813.232.420
Abel Santamaria Airport;MUSC;SNU;2.249.220.085.144.040;-79.943.603.515.625
San Julian Air Base;MUSJ;SNJ;22.095.300.674.438.400;-841.520.004.272.461
Siguanea Airport;MUSN;SZJ;21.642.499.923.706.000;-829.551.010.131.836
Sancti Spiritus Airport;MUSS;USS;219.704;-79.442.703
Alberto Delgado Airport;MUTD;TND;21.788.299.560.546.800;-7.999.720.001.220.700
Juan Gualberto Gomez International Airport;MUVR;VRA;23.034.400.939.941.400;-81.435.302.734.375
Hermanos Ameijeiras Airport;MUVT;VTU;20.987.600.326.538.000;-7.693.579.864.501.950
Manetai Airport;MVI;MVI;-6.12;155.39
Marlboro Airport;MVJ;MVJ;18.019;-77.495
Gerrard Smith International Airport;MWCB;CYB;19.687.000.274.658.200;-7.988.279.724.121.090
Edward Bodden Airfield;MWCL;LYB;1.966.699.981.689.450;-800.999.984.741.211
Owen Roberts International Airport;MWCR;GCM;19.292.800.903.299.900;-813.576.965.332
Motswari Airport;MWR;MWR;-241.903;313.864
Abreojos Airport;MX-AJS;AJS;2.672.719.955.444.330;-11.355.899.810.791.000
Pablo L. Sidar Airport;MX-AZG;AZG;190.933.990.479;-102.393.997.192
Navojoa Airport;MX-NVJ;NVJ;2.699.220.085.144.040;-10.941.600.036.621.000
Playa del Carmen Airport;MX-PCM;PCM;20.622.499.465.942;-8.708.219.909.668
Punta Chivato Airport;MX-PCV;PCV;27.069.200.515.747;-11.196.199.798.584
Pinotepa Nacional Airport;MX-PNO;PNO;16.350.000.381.469;-98.061.996.459.961
Salina Cruz Naval Air Station;MX-SCX;SCX;16.212.600.708;-9.520.159.912.110.000
San Ignacio Airport;MX-SGM;SGM;272.966.003.418;-11.293.800.354
Tulum Naval Air Station;MX-TUY;TUY;202.273.006.439;-8.743.820.190.430.000
San Luis Río Colorado Airport;MX-UAC;UAC;32.445.301.055.908;-114.797.996.521
Álamos Airport;MX-XAL;XAL;2.703.569.984.436.030;-108.947.998.046.875
Monticello Airport;MXC;MXC;3.793.243;-109.341.225
Mindik Airport;MXK;MXK;-647.166.666.667;147.441.138.889
Moussoro Airport;MXR;MXR;13.645.663;16.501.386
Genting Airport;MY-GTB;GTB;211.666.703.224;111.699.996.948
Sungei Tekai Airport;MY-GTK;GTK;25.999.999.046.325.600;10.291.666.412.353.500
Long Banga Airport;MY-LBP;LBP;3.202;1.154.018
Long Lama Airport;MY-LLM;LLM;3.766.669.988.632.200;11.446.666.717.529.200
Mostyn Airport;MY-MZS;MZS;4.616.666.793.823.240;1.181.500.015.258.780
Sipitang Airport;MY-SPT;SPT;50.833.330.154.418.900;11.555.000.305.175.700
Clarence A. Bain Airport;MYAB;MAY;24.287.700.653.076.100;-7.768.460.083.007.810
Andros Town Airport;MYAF;ASD;24.697.900.772.094.700;-7.779.560.089.111.320
Congo Town Airport;MYAK;COX;24.158.700.943;-775.897.979.736
Marsh Harbour International Airport;MYAM;MHH;26.511.400.222.800.000;-7.708.350.372.310.000
San Andros Airport;MYAN;SAQ;25.053.800.582.885.700;-7.804.900.360.107.420
Spring Point Airport;MYAP;AXP;22.441.799.163.800.000;-7.397.090.148.930.000
Treasure Cay Airport;MYAT;TCB;26.745.300.293;-773.912.963.867
Abaco I Walker C Airport;MYAW;WKR;27.266.700.744.628.900;-7.839.969.635.009.760
Chub Cay Airport;MYBC;CCZ;2.541.710.090.637.200;-7.788.089.752.197.260
Great Harbour Cay Airport;MYBG;GHC;257.383.003.235;-778.401.031.494
South Bimini Airport;MYBS;BIM;256.998.996.735;-792.647.018.433
Arthur's Town Airport;MYCA;ATC;246.294.002.533;-756.737.976.074
New Bight Airport;MYCB;CAT;2.431.529.998.779.290;-7.545.230.102.539.060
Cat Cay Airport;MYCC;CXY;25.600.000.381.469.700;-7.926.699.829.101.560
Colonel Hill Airport;MYCI;CRI;22.745.599.746.699.900;-741.824.035.645
Pitts Town Airport;MYCP;PWN;22.829.700.469.970.700;-7.434.609.985.351.560
Exuma International Airport;MYEF;GGT;235.625.991.821;-758.779.983.521
North Eleuthera Airport;MYEH;ELH;25.474.899.292;-766.835.021.973
Governor's Harbour Airport;MYEM;GHB;252.847.003.937;-763.310.012.817
Normans Cay Airport;MYEN;NMC;2.459.429.931.640.620;-7.682.019.805.908.200
Rock Sound Airport;MYER;RSD;248.950.787.333;-761.768.817.902
Staniel Cay Airport;MYES;TYM;24.169.099.807.739.200;-7.643.910.217.285.150
Grand Bahama International Airport;MYGF;FPO;265.587.005.615;-78.695.602.417
Auxiliary Airfield;MYGM;GBI;266.319.007.874;-783.591.995.239
West End Airport;MYGW;WTD;26.685.300.827;-7.897.499.847.410.000
Inagua Airport;MYIG;IGA;20.975.000.381.469.700;-7.366.690.063.476.560
May Creek Airport;MYK;MYK;613.357.009.888;-14.268.699.646
Deadman's Cay Airport;MYLD;LGI;231.790.008.545;-7.509.359.741.210.000
